date,type,primary,pri-ammount,fee,fee-coin,secondary,sec-ammount,sec-coin-price,price-in-usd,ammount-in-usd
08-03-2021,buy,USDT,118.84,0.0,USDT,ETH,0.04735111,2509.92193,2509.92193,118.84
08-03-2021,deposit,eur,200.0,0.0,0,0,0.0,0.0,0.0,0.0
09-01-2021,buy,eur,100.0,0.2,eur,ADA,41.4668,2.839958711,3.180753756,131.8956798493008
09-01-2021,buy,USDT,10.2,0.00017,AR,AR,0.16983,60.0,60.0,10.2
09-01-2021,buy,USDT,22.84,0.001,ATOM,ATOM,0.999,22.84,22.84,22.84
09-01-2021,buy,eur,250.0,0.5,eur,BTC,0.006143,47926.09474,53677.22611,329.73919999373004
09-01-2021,buy,USDT,58.8636,0.00197,DOT,DOT,1.96803,29.88,29.88,58.8636
09-01-2021,buy,eur,200.0,0.4,eur,ETH,0.065934,3572.178239,4000.839628,263.79136003255206
09-01-2021,buy,USDT,22.002,0.0019,INJ,INJ,1.8981,11.58,11.58,22.002
09-01-2021,buy,eur,25.0,0.05,eur,LINK,1.01898,28.8926181,32.35973227,32.9739199884846
09-01-2021,buy,USDT,22.8942,0.0161,MATIC,MATIC,16.0839,1.422,1.422,22.8942
09-01-2021,buy,USDT,29.0142,0.0027,RUNE,RUNE,2.6973,10.746,10.746,29.0142
09-01-2021,buy,USDT,177.0846,0.00154,SOL,SOL,1.53846,114.99,114.99,177.0846
09-01-2021,deposit,eur,900.0,0.0,0,0,0.0,0.0,0.0,0.0
09-06-2021,buy,USDT,9.5591,0.00017,AR,AR,0.16983,56.23,56.23,9.5591
09-06-2021,buy,USDT,9.7584,0.00038,ATOM,ATOM,0.37962,25.68,25.68,9.7584
09-06-2021,buy,USDT,9.6936,0.00028,DOT,DOT,0.27972,34.62,34.62,9.6936
09-06-2021,buy,eur,100.0,0.2,eur,ETH,0.02977,3934.3974,4406.525088,131.18225186976002
09-06-2021,buy,USDT,9.387,0.0006,INJ,INJ,0.5994,15.645,15.645,9.387
09-06-2021,buy,USDT,9.9764,0.00028,LINK,LINK,0.27972,35.63,35.63,9.9764
09-06-2021,buy,USDT,9.9979,0.0061,MATIC,MATIC,6.0939,1.639,1.639,9.9979
09-06-2021,buy,USDT,9.5056,0.0008,RUNE,RUNE,0.7992,11.882,11.882,9.5056
09-06-2021,buy,USDT,9.8358,6e-05,SOL,SOL,0.05994,164.12,164.12,9.8358
09-06-2021,buy,USDT,9.8472,6e-05,SOL,SOL,0.05994,164.12,164.12,9.8472
09-06-2021,deposit,eur,200.0,0.0,0,0,0.0,0.0,0.0,0.0
09-09-2021,buy,USDT,91.2,0.18,USDT,ADA,37.962,2.3976,2.3976,91.2
09-09-2021,buy,USDT,28.3472,0.00056,AR,AR,0.55944,50.62,50.62,28.3472
09-09-2021,buy,USDT,16.608368,0.00082,ATOM,ATOM,0.81918,20.25410732,20.25410732,16.608368
09-09-2021,buy,USDT,110.0,0.22,USDT,BTC,0.002377,46184.2658,46184.2658,110.0
09-09-2021,buy,USDT,113.83,0.22,USDT,BTC,0.002427,46810.8776,46810.8776,113.83
09-09-2021,buy,USDT,39.9256,0.00143,DOT,DOT,1.42857,27.92,27.92,39.9256
09-09-2021,buy,USDT,130.0,0.26,USDT,ETH,0.037752,3435.729,3435.729,130.0
