,ETH,ADA,AR,ATOM,BTC,DOT,INJ,LINK,MATIC,RUNE,SOL,HNT,FTM,YGG,MC,BAT
invested,1920.273611902312,422.4156798493008,58.31230000000001,254.52156799999997,1243.84919999373,722.8013,147.21009999999998,48.8977679884846,115.75900000000001,227.99660000000003,583.1514579999999,125.9699,151.2772,73.749,49.9875,29.4177
ammount_bought,0.58060411,187.0641,1.1091,8.62639,0.024960000000000003,23.447579999999995,15.694799999999999,1.81711,74.47019999999999,28.691499999999994,4.4269300000000005,5.37,71.0,15.1,23.25,39.0
ammount_now,0.58060411,187.0641,1.1091,8.62639,1.0,23.447579999999995,15.694799999999999,1.81711,74.47019999999999,28.691499999999994,4.4269300000000005,5.37,71.0,15.1,23.25,39.0
interest_earned,0.0,0.0,0.0,0.0,0.97504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
growth_interest,0.0,0.0,0.0,0.0,39.06410256410256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
price_today,2583.05,1.056,34.31,28.63,37916.11,18.57,4.362,16.19,1.68,4.214,95.18,26.85,2.0793,3.074,2.46,0.8449
investment_now,1499.7294463355001,197.5396896,38.053221,246.97354570000002,946.3861056000002,435.4215605999999,68.4607176,29.419010900000004,125.10993599999998,120.90598099999998,421.35519740000007,144.1845,147.6303,46.417399999999994,57.195,32.9511
gain_fiat,-420.5441655668119,-224.87599024930077,-20.259079000000007,-7.548022299999957,-297.4630943937299,-287.37973940000006,-78.74938239999999,-19.4787570884846,9.350935999999962,-107.09061900000005,-161.79626059999987,18.21460000000002,-3.646899999999988,-27.3316,7.207500000000003,3.5333999999999968
growth_fiat,-0.21900221039344564,-0.532357109304102,-0.3474237682272866,-0.0296557276434819,-0.23914723295655882,-0.3975916194395335,-0.5349455125701293,-0.3983567735253649,0.08077934329080211,-0.46970270170695544,-0.27745152375148463,0.1445948595656583,-0.024107400189850078,-0.37060299122699975,0.14418604651162797,0.12011136152724369
actual_allocation,0.3290516450150564,0.043341657375248005,0.008349155908598695,0.05418780813189834,0.2076440558181908,0.09553468536644386,0.015020783782191438,0.006454746857851125,0.02745003797126147,0.026527659397113094,0.09244842206632074,0.031635137275326804,0.032391171079399504,0.010184318154612694,0.01254900267686413,0.007229713123623002
default_allocation,0.3,0.03,0.01,0.05,0.2,0.1,0.02,0.01,0.03,0.03,0.1,0.03,0.03,0.01,0.01,0.01
next_deposit,0.2705536644998574,-47.5396896,11.946779,3.0264542999999833,53.61389439999982,64.5784394000001,31.539282400000005,20.580989099999996,24.890064000000024,29.094019000000017,78.64480259999993,5.815499999999986,2.3696999999999946,3.5826000000000064,-7.195,17.048900000000003
previous_deposit,-299.72944633550014,-77.5396896,1.9467789999999994,-46.97354570000002,-146.38610560000018,-35.42156059999991,11.539282400000005,10.580989099999996,-5.109935999999976,-0.9059809999999828,-21.355197400000065,-24.184500000000014,-27.630300000000005,-6.4173999999999936,-17.195,7.048900000000003
deposit_impact,5.411073289997148e-05,-0.00950793792,0.0023893558,0.0006052908599999966,0.010722778879999964,0.01291568788000002,0.006307856480000001,0.00411619782,0.004978012800000005,0.005818803800000004,0.015728960519999988,0.0011630999999999972,0.0004739399999999989,0.0007165200000000013,-0.001439,0.0034097800000000007
bought_prices_sum,40751.63527299999,11.036053756000001,215.45,192.28410732,506447.37411000003,307.42,96.781,72.13214414000001,11.816,87.595,1586.1045000000004,142.07,11.2661,8.589,2.15,0.7543
bought_prices_times,12.0,5.0,4.0,7.0,10.0,10.0,9.0,3.0,7.0,10.0,10.0,5.0,5.0,2.0,1.0,1.0
pair_name,ETHUSDT,ADAUSDT,ARUSDT,ATOMUSDT,BTCUSDT,DOTUSDT,INJUSDT,LINKUSDT,MATICUSDT,RUNEUSDT,SOLUSDT,HNTUSDT,FTMUSDT,YGGUSDT,MCUSDT,BATUSDT
